id,titulo,autor,genero,anio_publicacion,editorial,idioma,paginas,disponible,cliente_prestamo,fecha_prestamo,fecha_limite
1,Libro 1,Autor 2612,Infantil,1983,Alfaguara,Español,269,,,,
2,Libro 2,Autor 1774,Historia,2011,Penguin,Italiano,829,False,Matias,2025-11-11,2025-11-18
3,Libro 3,Autor 2739,Romance,1983,Anagrama,Italiano,209,,,,
4,Libro 4,Autor 322,Fantasía,1972,Planeta,Alemán,700,,,,
5,Libro 5,Autor 1537,Infantil,1968,Planeta,Alemán,357,,,,
6,Libro 6,Autor 1630,Ciencia,2001,Alfaguara,Francés,767,,,,
7,Libro 7,Autor 3435,Infantil,2009,Anagrama,Alemán,890,,,,
8,Libro 8,Autor 3224,Romance,1977,Anagrama,Inglés,250,,,,
9,Libro 9,Autor 4841,Fantasía,1998,Salamandra,Inglés,933,,,,
10,Libro 10,Autor 1932,Historia,1994,Salamandra,Italiano,118,,,,
11,Libro 11,Autor 945,Romance,2009,HarperCollins,Italiano,775,,,,
12,Libro 12,Autor 229,Romance,2024,Planeta,Italiano,834,,,,
13,Libro 13,Autor 3749,Ciencia,2005,HarperCollins,Italiano,568,,,,
14,Libro 14,Autor 3931,Misterio,1953,Anagrama,Español,617,True,,,
15,Libro 15,Autor 4625,Fantasía,1967,Alfaguara,Español,516,,,,
16,Libro 16,Autor 1225,No ficción,1978,Penguin,Alemán,188,,,,
17,Libro 17,Autor 3887,Romance,1988,Salamandra,Español,620,,,,
18,Libro 18,Autor 1793,Misterio,2004,Penguin,Francés,225,,,,
19,Libro 19,Autor 1769,No ficción,2007,Planeta,Español,442,,,,
20,Libro 20,Autor 4212,Fantasía,1996,Anagrama,Italiano,529,,,,
21,Libro 21,Autor 2675,Ficción,1980,HarperCollins,Alemán,906,,,,
22,Libro 22,Autor 3059,Misterio,1977,Alfaguara,Inglés,447,,,,
23,Libro 23,Autor 610,Terror,1976,Penguin,Francés,350,,,,
24,Libro 24,Autor 911,Ficción,1979,Penguin,Francés,330,,,,
25,Libro 25,Autor 4952,Ciencia,1998,Penguin,Inglés,419,,,,
